    r[fm]          wf[fm-3/2]     NLC            corrected-wf[fm-3/2]
    0.34000E+01    0.24639E-01    0.10000E+01    0.24639E-01
    0.35000E+01    0.38380E-01    0.10000E+01    0.38380E-01
    0.36000E+01    0.51401E-01    0.10000E+01    0.51401E-01
    0.37000E+01    0.62960E-01    0.10000E+01    0.62960E-01
    0.38000E+01    0.72891E-01    0.10000E+01    0.72891E-01
    0.39000E+01    0.80748E-01    0.10000E+01    0.80748E-01
    0.40000E+01    0.86629E-01    0.10000E+01    0.86629E-01
    0.41000E+01    0.90404E-01    0.10000E+01    0.90404E-01
    0.42000E+01    0.92322E-01    0.10000E+01    0.92322E-01
    0.43000E+01    0.92491E-01    0.10000E+01    0.92491E-01
    0.44000E+01    0.91198E-01    0.10000E+01    0.91198E-01
    0.45000E+01    0.88683E-01    0.10000E+01    0.88683E-01
    0.46000E+01    0.85200E-01    0.10000E+01    0.85200E-01
    0.47000E+01    0.81020E-01    0.10000E+01    0.81020E-01
    0.48000E+01    0.76332E-01    0.10000E+01    0.76332E-01
    0.49000E+01    0.71375E-01    0.10000E+01    0.71375E-01
    0.50000E+01    0.66268E-01    0.10000E+01    0.66268E-01
    0.51000E+01    0.61191E-01    0.10000E+01    0.61191E-01
    0.52000E+01    0.56205E-01    0.10000E+01    0.56205E-01
    0.53000E+01    0.51428E-01    0.10000E+01    0.51428E-01
    0.54000E+01    0.46881E-01    0.10000E+01    0.46881E-01
    0.55000E+01    0.42627E-01    0.10000E+01    0.42627E-01
    0.56000E+01    0.38664E-01    0.10000E+01    0.38664E-01
    0.57000E+01    0.35016E-01    0.10000E+01    0.35016E-01
    0.58000E+01    0.31668E-01    0.10000E+01    0.31668E-01
    0.59000E+01    0.28619E-01    0.10000E+01    0.28619E-01
    0.60000E+01    0.25847E-01    0.10000E+01    0.25847E-01
    0.61000E+01    0.23337E-01    0.10000E+01    0.23337E-01
    0.62000E+01    0.21068E-01    0.10000E+01    0.21068E-01
    0.63000E+01    0.19018E-01    0.10000E+01    0.19018E-01
    0.64000E+01    0.17166E-01    0.10000E+01    0.17166E-01
    0.65000E+01    0.15490E-01    0.10000E+01    0.15490E-01
    0.66000E+01    0.13971E-01    0.10000E+01    0.13971E-01
    0.67000E+01    0.12591E-01    0.10000E+01    0.12591E-01
    0.68000E+01    0.11334E-01    0.10000E+01    0.11334E-01
    0.69000E+01    0.10183E-01    0.10000E+01    0.10183E-01
    0.70000E+01    0.91296E-02    0.10000E+01    0.91296E-02
    0.71000E+01    0.81597E-02    0.10000E+01    0.81597E-02
    0.72000E+01    0.72675E-02    0.10000E+01    0.72675E-02
    0.73000E+01    0.64437E-02    0.10000E+01    0.64437E-02
    0.74000E+01    0.56849E-02    0.10000E+01    0.56849E-02
    0.75000E+01    0.49852E-02    0.10000E+01    0.49852E-02
    0.76000E+01    0.43430E-02    0.10000E+01    0.43430E-02
    0.77000E+01    0.37550E-02    0.10000E+01    0.37550E-02
    0.78000E+01    0.32203E-02    0.10000E+01    0.32203E-02
    0.79000E+01    0.27371E-02    0.10000E+01    0.27371E-02
    0.80000E+01    0.23047E-02    0.10000E+01    0.23047E-02
    0.81000E+01    0.19219E-02    0.10000E+01    0.19219E-02
    0.82000E+01    0.15874E-02    0.10000E+01    0.15874E-02
    0.83000E+01    0.13000E-02    0.10000E+01    0.13000E-02
    0.84000E+01    0.10575E-02    0.10000E+01    0.10575E-02
    0.85000E+01    0.85833E-03    0.10000E+01    0.85833E-03
    0.86000E+01    0.69924E-03    0.10000E+01    0.69924E-03
    0.87000E+01    0.58344E-03    0.10000E+01    0.58344E-03
    0.88000E+01    0.49014E-03    0.10000E+01    0.49014E-03
    0.89000E+01    0.39613E-03    0.10000E+01    0.39613E-03
    0.90000E+01    0.31179E-03    0.10000E+01    0.31179E-03
    0.91000E+01    0.24100E-03    0.10000E+01    0.24100E-03
    0.92000E+01    0.18000E-03    0.10000E+01    0.18000E-03
    0.93000E+01    0.12426E-03    0.10000E+01    0.12426E-03
    0.94000E+01    0.80000E-04    0.10000E+01    0.80000E-04
    0.95000E+01    0.56250E-04    0.10000E+01    0.56250E-04
    0.96000E+01    0.40000E-04    0.10000E+01    0.40000E-04
    0.97000E+01    0.17500E-04    0.10000E+01    0.17500E-04
    0.98000E+01    0.00000E+00    0.10000E+01    0.00000E+00
    0.99000E+01   -0.25000E-05    0.10000E+01   -0.25000E-05
    0.10000E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10100E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10200E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10300E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10400E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10500E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10600E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10700E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10800E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.10900E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11000E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11100E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11200E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11300E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11400E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11500E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11600E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11700E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11800E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.11900E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12000E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12100E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12200E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12300E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12400E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12500E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12600E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12700E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12800E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.12900E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13000E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13100E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13200E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13300E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13400E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13500E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13600E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13700E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13800E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.13900E+02    0.00000E+00    0.10000E+01    0.00000E+00
    0.14000E+02    0.00000E+00    0.10000E+01    0.00000E+00
